"","MEblack","MEblue","MEbrown","MEcyan","MEgreen","MEgreenyellow","MEgrey60","MElightcyan","MElightgreen","MEmagenta","MEmidnightblue","MEpink","MEpurple","MEred","MEsalmon","MEtan","MEturquoise","MEyellow"
"J2_14SR2_2",-0.0402118455287534,-0.0711186713520882,0.00462127252737088,0.349766507880064,0.106329701290721,0.0658692441022346,-0.0231456633624459,-0.0515302362693433,-0.0290779501302188,-0.0458829809114101,-0.0300804087982651,-0.0447053415280397,-0.0528664984347514,-0.0587595670241523,-0.0480842163364126,0.0040770881274831,-0.112406451330773,0.124267531987715
"J2_14SR2_3",-0.0615106648669471,-0.116181450614582,0.0950258149645695,-0.0497820830225824,0.106418709802424,-0.0110104788341271,-0.0277259317225383,-0.0220141077901091,-0.0351462207130637,-0.01123485391476,-0.033365037643765,-0.0559051121803409,-0.0274716556405321,0.23862302976663,-0.0233158584912352,-0.121090174204525,0.0323315105309895,0.126999138869911
"J2_14SR2_4",-0.0692369539588591,-0.00245953506272531,-0.0509816233519474,-0.0399836195358651,-0.0515665673997891,0.0114915323836345,-0.0334278227190213,0.440494791998822,-0.0307541288923497,-0.0527592384072562,-0.0254816690299921,-0.0613349606618666,-0.0569557144686991,-0.0478621588456341,-0.0128474454458508,-0.0115659123212984,0.0389645657282687,0.0657749620657314
"J2_14SR3_1",-0.0379986791344205,0.000718546197498543,-0.0258833763655914,-0.0125098127150811,-0.109553606429812,-0.0903245347287681,0.0319871893526331,-0.0310869197090927,-0.00841927629291912,-0.0786695000145932,0.246348764017546,-0.0279623351503317,-0.0349500224953406,-0.0623854961068677,-0.0201074862844684,-0.0380222854876018,0.252216039540136,0.00674786663114644
"J2_14SR3_2",-0.0693255452993632,-0.154383831372127,0.151972361024354,-0.0499098573881549,0.130976041169259,0.0524039014782113,0.208564279840041,-0.0477408098947556,-0.0393963723193982,-0.051158706790677,-0.0482722638802858,0.298982354014924,-0.0879621354540449,-0.0767642738216065,-0.0529662541766662,-0.0448684838810538,0.00486931370413759,-0.215240752464409
"J2_14SR3_3",-0.0274294776028263,0.10919227089184,-0.0900407311451966,0.374590586553802,-0.201799954439567,-0.209282082399049,-0.0142384371487457,-0.0168087046684287,0.0101468418914699,-0.0645364593158956,0.0184115568858415,-0.00927503481745464,-0.0288591508825051,-0.0542330372592124,-0.00598853976024761,-0.0210297828447955,0.405503878550913,0.0620506938362019
"J2_14SR3_4",-0.0506381202462096,-0.157591466641287,0.257876951391725,-0.022623361483808,0.170699293555367,-0.0832247600893444,0.256832953074231,-0.0156738788736041,-0.0222790534659861,0.306023423285826,-0.0210641859861967,0.0188309591964862,-0.0350330298887707,-0.0346874539080448,0.0263143898168758,-0.172956024610674,0.172352553468487,-0.137506812154967
"J2_14SS1_1",-0.0369909585064852,0.187957458299793,-0.105457931168123,-0.0248293737976161,-0.235098031223132,-0.19518015751619,0.0203418531843149,-0.0302791949315067,-0.0010888407057277,-0.0785273241108586,0.272582748274084,-0.0285271841461889,-0.0219902469136526,-0.0486882897515862,-0.021809848738252,-0.0413442187008244,0.248615203835274,0.00725309556519411
"J2_14SS1_2",-0.0696031513101066,0.224526401163651,-0.151618015072573,-0.0355726613378318,-0.213038189425518,-0.173342465856906,-0.00226644354228132,-0.0484570962146201,-0.0334377863006363,0.331946482326873,-0.0631131318338206,-0.0587681722410968,-0.0291133830788188,0.327395735699352,-0.032332354850713,0.0038558548607699,0.21231413874954,-0.111283711249927
"J2_14SS1_3",-0.0527293919081947,0.126732738240355,-0.0632917646642452,-0.0301879124558419,-0.160065021643867,-0.195804921388052,-0.0398454489573876,-0.0236235091309127,-0.0053936635573327,-0.0657796455168461,-0.0365956076116005,-0.0475598199122765,0.2595957269667,-0.040348895551917,-0.0463311105315848,-0.0962870896930141,0.230328283516578,0.0311613425084155
"J2_14SS2_1",-0.079200064725082,0.0774282834092919,-0.134933396672106,-0.0585973844356855,-0.155389118200709,-0.0788500988601009,-0.0548699846636856,-0.0272065464669124,-0.00933780267267649,-0.0332859011886461,-0.0667439654580474,-0.0767731757743818,-0.0453212543276055,0.247850652305697,-0.0660825760469138,-0.0051510224507422,0.108277237779066,0.0666739403110401
"J2_14SS2_2",0.241147984253109,-0.103349034986463,0.0830412345689161,-0.0346923558375224,0.0446042931137463,-0.0591892474938666,-0.0276980950974804,-0.0387857350343399,0.00118517865816266,-0.0431591414321526,-0.0546545153335039,0.317303936721144,-0.061125920024704,-0.0795978299481243,-0.038550874577828,-0.0759236468113197,0.125511304210455,-0.0689432548884006
"J2_14SS2_3",-0.0289998737624987,-0.0382287273258558,0.101351081150973,-0.0111541828579819,-0.00815842122316665,-0.122382563501701,0.00694255226497325,0.0016850920372289,0.0119938592775067,-0.0136276954550546,-0.0040802295815495,-0.00283206369746178,-0.00757960616292227,-0.0189518553425869,0.15207639896851,-0.136003683545642,0.214417885578656,0.00905009401097184
"J2_14SS2_4",-0.0609564089787373,-0.0755237013498563,0.143903919705664,-0.0273662514981461,0.052157818639063,-0.103585999024863,-0.0128031966245712,-0.0301920196370605,-0.0164514042452358,0.360954065920785,-0.0494434955599152,-0.023970958841527,-0.0431838685876726,-0.0494886516942116,0.350648960423023,-0.15982938158126,0.16891511933151,-0.153627915704887
"J2_14SS3_1",-0.0530112057884578,0.178375183121186,-0.111018075540807,-0.0248556129889207,-0.192094866747734,-0.104491741063972,0.00262281764234087,-0.0231221703519431,-0.0332792082576429,0.445390139470184,-0.0639908863762564,-0.0469320681245135,-0.0177052541130687,0.254242494659977,0.000740286022008359,0.0305198311939545,0.195264893840587,-0.0683836534004624
"J2_14SS3_2",-0.0683195476777795,-0.166561125232951,0.0562944528635655,-0.0589709656019235,0.106952421806327,0.093882698856193,0.00158406071016873,-0.05195640930068,-0.0337575338582382,-0.0803925948415909,0.466987423678147,-0.0602049289191001,-0.0669228148276097,-0.0811738565179387,-0.0601469846111263,-0.062244215150419,0.0536794359620658,-0.0416377680815661
"J2_14SS3_3",-0.0675595838686042,0.111766289713065,-0.122352046123154,-0.048020809693313,-0.110515469585398,-0.0335658666985837,-0.027521164212741,-0.0383199778872954,-0.0453167450046483,-0.0126358093600313,-0.0736351424816019,-0.0669098629922858,-0.0383937788692746,0.222847611556654,-0.0528194536687954,0.0395576998666578,0.0907227564258407,-0.135990567574088
"J2_14SS3_4",-0.0432174903463522,-0.110308514584079,0.148922338777157,-0.0337677478070473,0.04506612661053,-0.0618048526184646,0.0356848729460114,-0.00736724737701396,-0.0113841468667975,-0.0755668768069677,0.308030623189638,-0.0298617905296039,-0.0319278438216992,-0.0570741482206887,-0.00705874089724681,-0.162278588853474,0.222111762012251,-0.0467740662894965
