GeneID	Annotation_GO_ID
LOC111099747	GO:0003677;GO:0009058;GO:0034641
LOC111099747	GO:0003677;GO:0009058;GO:0034641
LOC111099748	GO:0005575;GO:0016887;GO:0022857;GO:0043167
LOC111099749	GO:0043167
LOC111099753	unknown
LOC111099755	GO:0002376;GO:0005618;GO:0006950;GO:0009056;GO:0009058;GO:0016810;GO:0043167;GO:0071554
LOC111099756	unknown
LOC111099757	unknown
LOC111099766	unknown
LOC111099766	unknown
LOC111099772	GO:0005575;GO:0008233
LOC111099772	GO:0005575;GO:0008233
LOC111099773	GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641
LOC111099773	GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641
LOC111099773	GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641
LOC111099773	GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641
LOC111099775	GO:0006950;GO:0016491
LOC111099776	unknown
LOC111099782	unknown
LOC111099789	unknown
LOC111099789	unknown
LOC111099789	unknown
LOC111099790	unknown
LOC111099793	unknown
LOC111099794	GO:0003674;GO:0005575;GO:0007165
LOC111099794	GO:0003674;GO:0005575;GO:0007165
LOC111099794	GO:0003674;GO:0005575;GO:0007165
LOC111099794	GO:0003674;GO:0005575;GO:0007165
LOC111099794	GO:0003674;GO:0005575;GO:0007165
LOC111099794	GO:0003674;GO:0005575;GO:0007165
LOC111099795	unknown
LOC111099795	unknown
LOC111099796	GO:0003677;GO:0009058;GO:0034641
LOC111099797	GO:0003674
LOC111099799	GO:0005634;GO:0008219
LOC111099800	unknown
LOC111099801	GO:0008219
LOC111099803	GO:0003674
LOC111099804	unknown
LOC111099804	unknown
LOC111099806	unknown
LOC111099812	unknown
LOC111099812	unknown
LOC111099814	GO:0002376;GO:0003677;GO:0005739;GO:0006259;GO:0006950
LOC111099816	GO:0043167
LOC111099817	unknown
LOC111099818	GO:0003674;GO:0005575;GO:0007165
LOC111099821	unknown
LOC111099822	unknown
LOC111099822	unknown
LOC111099823	unknown
LOC111099825	unknown
LOC111099828	unknown
LOC111099829	GO:0016829
LOC111099830	unknown
LOC111099830	unknown
